Participant_ID,Program,Start_Date,Duration_Days,End_Date,Hours_Trained,Completion_Status,Outcome_Score
1,Career Coaching,2024-01-01,19,2024-01-20,12,Complete,64
2,Job Readiness,2024-11-02,28,2024-11-30,40,Complete,53
3,Career Coaching,2024-06-10,41,2024-07-21,49,Complete,70
4,Career Coaching,2024-07-25,10,2024-08-04,45,Complete,62
5,Job Readiness,2024-01-03,14,2024-01-17,33,Complete,71
6,Job Readiness,2024-11-11,54,2025-01-04,15,Incomplete,68
7,Career Coaching,2024-05-22,13,2024-06-04,75,Complete,83
8,Technical Skills,2024-12-16,25,2025-01-10,93,Complete,63
9,Career Coaching,2024-05-25,33,2024-06-27,84,Complete,53
10,Career Coaching,2024-03-27,25,2024-04-21,13,Complete,97
11,Career Coaching,2024-11-01,11,2024-11-12,88,Complete,95
12,Career Coaching,2024-06-10,58,2024-08-07,15,Complete,76
13,Job Readiness,2024-06-02,37,2024-07-09,60,Complete,78
14,Career Coaching,2024-12-12,41,2025-01-22,71,Complete,96
15,Technical Skills,2024-09-09,36,2024-10-15,66,Complete,77
16,Job Readiness,2024-10-19,29,2024-11-17,75,Incomplete,84
17,Technical Skills,2024-12-24,33,2025-01-26,88,Complete,57
18,Technical Skills,2024-03-06,21,2024-03-27,84,Complete,65
19,Technical Skills,2024-06-16,59,2024-08-14,17,Complete,91
20,Technical Skills,2024-02-01,44,2024-03-16,35,Complete,85
21,Job Readiness,2024-08-11,42,2024-09-22,60,Incomplete,79
22,Job Readiness,2024-02-03,42,2024-03-16,54,Complete,67
23,Technical Skills,2024-11-03,52,2024-12-25,53,Complete,51
24,Technical Skills,2024-11-01,46,2024-12-17,14,Complete,98
25,Job Readiness,2024-05-03,21,2024-05-24,79,Complete,62
26,Job Readiness,2024-02-15,12,2024-02-27,35,Complete,53
27,Job Readiness,2024-05-22,10,2024-06-01,77,Incomplete,75
28,Career Coaching,2024-11-05,42,2024-12-17,28,Complete,74
29,Career Coaching,2024-12-11,49,2025-01-29,93,Complete,79
30,Career Coaching,2024-02-18,19,2024-03-08,29,Incomplete,60
31,Technical Skills,2024-11-04,52,2024-12-26,21,Complete,56
32,Career Coaching,2024-07-20,53,2024-09-11,56,Complete,80
33,Technical Skills,2024-10-17,38,2024-11-24,10,Complete,93
34,Technical Skills,2024-06-28,22,2024-07-20,99,Incomplete,59
35,Career Coaching,2024-08-25,21,2024-09-15,23,Complete,88
36,Technical Skills,2024-01-01,40,2024-02-10,73,Complete,62
37,Career Coaching,2024-07-27,55,2024-09-20,47,Complete,80
38,Career Coaching,2024-11-20,11,2024-12-01,46,Complete,56
39,Job Readiness,2024-12-13,59,2025-02-10,20,Complete,98
40,Career Coaching,2024-02-08,44,2024-03-23,86,Complete,91
41,Job Readiness,2024-05-07,32,2024-06-08,12,Complete,91
42,Career Coaching,2024-03-27,26,2024-04-22,42,Complete,85
43,Career Coaching,2024-03-16,35,2024-04-20,15,Complete,69
44,Job Readiness,2024-01-25,17,2024-02-11,59,Complete,53
45,Job Readiness,2024-05-12,38,2024-06-19,19,Complete,56
46,Career Coaching,2024-02-20,35,2024-03-26,14,Complete,50
47,Technical Skills,2024-06-24,19,2024-07-13,32,Complete,93
48,Job Readiness,2024-05-06,35,2024-06-10,19,Complete,94
49,Technical Skills,2024-04-26,43,2024-06-08,53,Complete,91
50,Technical Skills,2024-07-27,50,2024-09-15,11,Complete,96
51,Technical Skills,2024-08-26,16,2024-09-11,22,Incomplete,62
52,Job Readiness,2024-01-01,13,2024-01-14,49,Complete,71
53,Technical Skills,2024-04-16,59,2024-06-14,11,Complete,70
54,Job Readiness,2024-05-15,54,2024-07-08,93,Complete,71
55,Technical Skills,2024-12-13,20,2025-01-02,74,Incomplete,77
56,Career Coaching,2024-08-08,38,2024-09-15,72,Complete,58
57,Career Coaching,2024-03-18,45,2024-05-02,82,Complete,75
58,Job Readiness,2024-07-26,34,2024-08-29,26,Complete,58
59,Career Coaching,2024-09-16,30,2024-10-16,18,Complete,64
60,Career Coaching,2024-10-09,45,2024-11-23,84,Incomplete,59
61,Technical Skills,2024-05-21,19,2024-06-09,24,Incomplete,73
62,Job Readiness,2024-01-03,46,2024-02-18,33,Complete,91
63,Technical Skills,2024-09-22,18,2024-10-10,47,Complete,57
64,Technical Skills,2024-12-07,33,2025-01-09,44,Incomplete,73
65,Technical Skills,2024-07-04,44,2024-08-17,58,Incomplete,65
66,Technical Skills,2024-12-23,58,2025-02-19,78,Complete,98
67,Technical Skills,2024-12-21,44,2025-02-03,71,Incomplete,75
68,Technical Skills,2024-05-27,57,2024-07-23,69,Incomplete,76
69,Technical Skills,2024-10-17,45,2024-12-01,59,Complete,86
70,Job Readiness,2024-10-25,27,2024-11-21,87,Complete,53
71,Career Coaching,2024-05-14,58,2024-07-11,84,Complete,99
72,Technical Skills,2024-01-09,48,2024-02-26,18,Incomplete,73
73,Technical Skills,2024-10-15,41,2024-11-25,43,Complete,68
74,Technical Skills,2024-10-16,33,2024-11-18,85,Incomplete,85
75,Technical Skills,2024-05-03,32,2024-06-04,44,Complete,88
76,Technical Skills,2024-03-06,41,2024-04-16,10,Complete,59
77,Technical Skills,2024-07-13,46,2024-08-28,49,Complete,74
78,Career Coaching,2024-09-15,21,2024-10-06,73,Complete,67
79,Career Coaching,2024-01-20,58,2024-03-18,31,Incomplete,68
80,Technical Skills,2024-07-13,22,2024-08-04,69,Incomplete,85
81,Career Coaching,2024-04-14,32,2024-05-16,73,Incomplete,59
82,Job Readiness,2024-08-26,34,2024-09-29,81,Complete,82
